Date,Log M4 including Treasuries,Log Total Assets,Effective Federal Funds Rate (%),Log Currency in Circulation ($ Bil),Log Nominal GDP (Bln)
1/31/2010,7.07,14.63,0.11,6.83,16.51
2/28/2010,7.06,14.63,0.13,6.83,0.00
3/31/2010,7.05,14.65,0.17,6.84,0.00
4/30/2010,7.06,14.66,0.2,6.84,16.52
5/31/2010,7.06,14.66,0.2,6.84,0.00
6/30/2010,7.05,14.67,0.18,6.85,0.00
7/31/2010,7.06,14.66,0.18,6.85,16.53
8/31/2010,7.07,14.66,0.19,6.85,0.00
9/30/2010,7.07,14.65,0.2,6.86,0.00
10/31/2010,7.08,14.65,0.19,6.87,16.54
11/30/2010,7.08,14.66,0.19,6.88,0.00
12/31/2010,7.07,14.69,0.18,6.89,0.00
1/31/2011,7.07,14.71,0.17,6.89,16.55
2/28/2011,7.07,14.73,0.16,6.89,0.00
3/31/2011,7.07,14.77,0.14,6.91,0.00
4/30/2011,7.08,14.8,0.1,6.92,16.56
5/31/2011,7.09,14.83,0.09,6.92,0.00
6/30/2011,7.08,14.86,0.09,6.93,0.00
7/31/2011,7.09,14.87,0.07,6.94,16.57
8/31/2011,7.08,14.87,0.1,6.94,0.00
9/30/2011,7.08,14.87,0.08,6.95,0.00
10/31/2011,7.08,14.86,0.07,6.95,16.58
11/30/2011,7.08,14.85,0.08,6.96,0.00
12/31/2011,7.08,14.88,0.07,6.97,0.00
1/31/2012,7.09,14.89,0.08,6.98,16.59
2/29/2012,7.09,14.89,0.1,6.98,0.00
3/31/2012,7.09,14.88,0.13,7,0.00
4/30/2012,7.1,14.87,0.14,7,16.60
5/31/2012,7.1,14.87,0.16,7.01,0.00
6/30/2012,7.11,14.87,0.16,7.01,0.00
7/31/2012,7.11,14.87,0.16,7.02,16.61
8/31/2012,7.12,14.86,0.13,7.02,0.00
9/30/2012,7.12,14.85,0.14,7.03,0.00
10/31/2012,7.12,14.85,0.16,7.03,16.61
11/30/2012,7.13,14.87,0.16,7.05,0.00
12/31/2012,7.14,14.88,0.17,7.05,0.00
1/31/2013,7.15,14.9,0.14,7.06,16.63
2/28/2013,7.14,14.94,0.15,7.06,0.00
3/31/2013,7.14,14.97,0.14,7.07,0.00
4/30/2013,7.15,15,0.15,7.07,16.63
5/31/2013,7.15,15.03,0.11,7.08,0.00
6/30/2013,7.15,15.05,0.09,7.08,0.00
7/31/2013,7.15,15.08,0.09,7.09,16.64
8/31/2013,7.15,15.11,0.08,7.09,0.00
9/30/2013,7.16,15.12,0.08,7.1,0.00
10/31/2013,7.16,15.15,0.09,7.1,16.66
11/30/2013,7.16,15.18,0.08,7.11,0.00
12/31/2013,7.16,15.2,0.09,7.12,0.00
1/31/2014,7.16,15.22,0.07,7.12,16.66
